iter	Passed	Remaining
778	4212	1194
779	4226	1192
780	4230	1186
781	4232	1179
782	4234	1173
783	4236	1167
784	4248	1163
785	4251	1157
786	4253	1151
787	4255	1144
788	4259	1139
789	4263	1133
790	4266	1127
791	4269	1121
792	4271	1115
793	4275	1109
794	4277	1103
795	4279	1096
796	4283	1090
797	4285	1084
798	4286	1078
799	4288	1072
800	4290	1065
801	4292	1059
802	4294	1053
803	4296	1047
804	4300	1041
805	4301	1035
806	4311	1031
807	4313	1025
808	4315	1018
809	4320	1013
810	4322	1007
811	4328	1002
812	4330	995
813	4331	989
814	4333	983
815	4337	978
816	4339	972
817	4341	966
818	4343	959
819	4345	953
820	4347	947
821	4350	942
822	4352	936
823	4356	930
824	4358	924
825	4360	918
826	4362	912
827	4364	906
828	4366	900
829	4368	894
830	4370	888
831	4375	883
832	4377	877
833	4382	872
834	4384	866
835	4390	861
836	4394	855
837	4404	851
838	4406	845
839	4408	839
840	4414	834
841	4416	828
842	4418	822
843	4420	816
844	4421	811
845	4423	805
846	4426	799
847	4429	793
848	4431	788
849	4434	782
850	4446	778
851	4450	773
852	4453	767
853	4457	762
854	4459	756
855	4464	750
856	4466	745
857	4468	739
858	4471	733
859	4472	728
860	4474	722
861	4476	716
862	4480	711
863	4482	705
864	4486	700
865	4502	696
866	4504	690
867	4508	685
868	4510	679
869	4512	674
870	4514	668
871	4517	663
872	4519	657
873	4539	654
874	4541	648
875	4555	644
876	4557	639
877	4569	634
878	4571	629
879	4573	623
880	4575	618
881	4577	612
882	4579	606
883	4581	601
884	4584	595
885	4586	590
886	4588	584
887	4591	579
888	4593	573
889	4595	567
890	4596	562
891	4598	556
892	4613	552
893	4616	547
894	4618	541
895	4623	536
896	4624	531
897	4627	525
898	4629	520
899	4631	514
900	4633	509
901	4636	503
902	4638	498
903	4639	492
904	4641	487
905	4656	483
906	4658	477
907	4663	472
908	4666	467
909	4668	461
910	4670	456
911	4672	450
912	4674	445
913	4676	439
914	4679	434
915	4681	429
916	4683	423
917	4700	419
918	4704	414
919	4706	409
920	4708	403
921	4710	398
922	4712	393
923	4714	387
924	4720	382
925	4724	377
926	4726	372
927	4728	366
928	4730	361
929	4732	356
930	4735	350
931	4737	345
932	4739	340
933	4741	335
934	4744	329
935	4745	324
936	4748	319
937	4750	314
938	4754	308
939	4756	303
940	4758	298
941	4760	293
942	4763	287
943	4765	282
944	4767	277
945	4768	272
946	4785	267
947	4787	262
948	4789	257
949	4792	252
950	4794	247
951	4798	241
952	4800	236
953	4803	231
954	4807	226
955	4809	221
956	4811	216
957	4813	211
958	4817	205
959	4819	200
960	4841	196
961	4843	191
962	4847	186
963	4849	181
964	4851	175
965	4853	170
966	4855	165
967	4858	160
968	4860	155
969	4862	150
970	4866	145
971	4868	140
972	4870	135
973	4872	130
974	4874	124
975	4894	120
976	4899	115
977	4901	110
978	4908	105
979	4910	100
980	4912	95
981	4915	90
982	4917	85
983	4919	79
984	4923	74
985	4925	69
986	4927	64
987	4929	59
988	4931	54
989	4932	49
990	4967	45
991	4969	40
992	4971	35
993	4973	30
994	4977	25
995	4980	20
996	4982	14
997	4990	10
998	4999	5
999	5019	0
